Column Name,Data Type,Description
trip_id,int64,Locally unique integer that identifies the trip
duration,int64,Length of trip in minutes
start_time,datetime64[ns],"The date/time when the trip began, presented in ISO 8601 format in local time"
end_time,datetime64[ns],"The date/time when the trip ended, presented in ISO 8601 format in local time"
start_station,int64,The station ID where the trip originated
start_kiosk_name,object,Public name of the station where the trip started
start_region,object,Region or municipality where the start station is located
start_lat,float64,The latitude of the station where the trip originated
start_lon,float64,The longitude of the station where the trip originated
end_station,int64,The station ID where the trip terminated
end_kiosk_name,object,Public name of the station where the trip ended
end_region,object,Region or municipality where the end station is located
end_lat,float64,The latitude of the station where the trip terminated
end_lon,float64,The longitude of the station where the trip terminated
trip_route_category,object,Categorizes trips as 'Round Trip' or 'One Way'
passholder_type,object,The name of the passholder's plan
bike_type,object,The type of bike used on the trip
